TimeStample;T;w;wd
2013-01-01;0.168571429;0.173913043;999012
2013-01-02;0.157142857;0.47826087;999004
2013-01-03;0.128571429;0.717391304;999004
2013-01-04;0.037142857;0.304347826;999003
2013-01-05;0.071428571;0.239130435;999003
2013-01-06;0.131428571;0.086956522;999003
2013-01-07;0.157142857;0.108695652;999006
2013-01-08;0.194285714;0.086956522;999004
2013-01-09;0.16;0.130434783;999004
2013-01-10;0.142857143;0.195652174;999012
2013-01-11;0.251428571;0.108695652;999006
2013-01-12;0.208571429;0.130434783;999012
2013-01-13;0.205714286;0.195652174;999005
2013-01-14;0.242857143;0.152173913;999003
2013-01-15;0.311428571;0.108695652;999013
2013-01-16;0.28;0.086956522;999003
2013-01-17;0.28;0.086956522;999005
2013-01-18;0.24;0.086956522;999012
2013-01-19;0.262857143;0.130434783;999004
2013-01-20;0.268571429;0.369565217;999004
2013-01-21;0.242857143;0.239130435;999004
2013-01-22;0.24;0.02173913;999012
2013-01-23;0.285714286;0.152173913;999012
2013-01-24;0.311428571;0.369565217;999005
2013-01-25;0.271428571;0.195652174;999006
2013-01-26;0.331428571;0.195652174;999011
2013-01-27;0.297142857;0.130434783;999012
2013-01-28;0.231428571;0.108695652;999013
2013-01-29;0.277142857;0.043478261;999004
2013-01-30;0.32;0.086956522;999012
2013-01-31;0.365714286;0.086956522;999012
2013-02-01;0.408571429;0.326086957;999003
2013-02-02;0.377142857;0.456521739;999003
2013-02-03;0.34;0.108695652;999002
2013-02-04;0.348571429;0.5;999005
2013-02-05;0.34;0.5;999004
2013-02-06;0.32;0.282608696;999002
2013-02-07;0.248571429;0.543478261;999004
2013-02-08;0.102857143;0.47826087;999004
2013-02-09;0.157142857;0.173913043;999003
2013-02-10;0.245714286;0.086956522;999012
2013-02-11;0.245714286;0.413043478;999003
2013-02-12;0.262857143;0.347826087;999002
2013-02-13;0.265714286;0.086956522;999004
2013-02-14;0.277142857;0.043478261;999003
2013-02-15;0.265714286;0.173913043;999006
2013-02-16;0.242857143;0.152173913;999012
2013-02-17;0.36;0.195652174;999004
2013-02-18;0.277142857;0.282608696;999004
2013-02-19;0.248571429;0.565217391;999005
2013-02-20;0.231428571;0.152173913;999004
2013-02-21;0.26;0.130434783;999005
2013-02-22;0.317142857;0.130434783;999005
2013-02-23;0.32;0.217391304;999013
2013-02-24;0.38;0.130434783;999012
2013-02-25;0.388571429;0.260869565;999004
2013-02-26;0.405714286;0.065217391;999004
2013-02-27;0.428571429;0.02173913;999005
2013-02-28;0.457142857;0.173913043;999013
2013-03-01;0.388571429;0.52173913;999004
2013-03-02;0.268571429;0.282608696;999004
2013-03-03;0.351428571;0.108695652;999005
2013-03-04;0.391428571;0.260869565;999013
2013-03-05;0.434285714;0.130434783;999008
2013-03-06;0.468571429;0.195652174;999004
2013-03-07;0.508571429;0.217391304;999006
2013-03-08;0.514285714;0.173913043;999010
2013-03-09;0.58;0.173913043;999008
2013-03-10;0.574285714;0.565217391;999004
2013-03-11;0.434285714;0.304347826;999004
2013-03-12;0.508571429;0.195652174;999004
2013-03-13;0.525714286;0.326086957;999003
2013-03-14;0.46;0.456521739;999004
2013-03-15;0.437142857;0.239130435;999003
2013-03-16;0.417142857;0.173913043;999012
2013-03-17;0.437142857;0.065217391;999014
2013-03-18;0.514285714;0.152173913;999012
2013-03-19;0.54;0.130434783;999012
2013-03-20;0.548571429;0.326086957;999004
2013-03-21;0.445714286;0.239130435;999004
2013-03-22;0.522857143;0.304347826;999003
2013-03-23;0.502857143;0.086956522;999004
2013-03-24;0.531428571;0.304347826;999004
2013-03-25;0.454285714;0.369565217;999003
2013-03-26;0.462857143;0.326086957;999003
2013-03-27;0.488571429;0.130434783;999013
2013-03-28;0.448571429;0.152173913;999013
2013-03-29;0.48;0.065217391;999013
2013-03-30;0.48;0.065217391;999012
2013-03-31;0.514285714;0.108695652;999004
2013-04-01;0.528571429;0.065217391;999012
2013-04-02;0.491428571;0.043478261;999003
2013-04-03;0.502857143;0.086956522;999012
2013-04-04;0.525714286;0.043478261;999002
2013-04-05;0.511428571;0.434782609;999004
2013-04-06;0.457142857;0.173913043;999004
2013-04-07;0.431428571;0.152173913;999012
2013-04-08;0.534285714;0.239130435;999005
2013-04-09;0.488571429;0.282608696;999004
2013-04-10;0.5;0.195652174;999006
2013-04-11;0.545714286;0.195652174;999003
2013-04-12;0.531428571;0.195652174;999013
2013-04-13;0.594285714;0.260869565;999011
2013-04-14;0.6;0.260869565;999006
2013-04-15;0.588571429;0.304347826;999012
2013-04-16;0.657142857;0.152173913;999012
2013-04-17;0.691428571;0.086956522;999014
2013-04-18;0.722857143;0.326086957;999004
2013-04-19;0.491428571;0.630434783;999004
2013-04-20;0.397142857;0.565217391;999003
2013-04-21;0.431428571;0.239130435;999004
2013-04-22;0.42;0.195652174;999004
2013-04-23;0.465714286;0.282608696;999004
2013-04-24;0.585714286;0.152173913;999003
2013-04-25;0.551428571;0.173913043;999013
2013-04-26;0.611428571;0.108695652;999011
2013-04-27;0.657142857;0.195652174;999004
2013-04-28;0.768571429;0.239130435;999012
2013-04-29;0.682857143;0.239130435;999010
2013-04-30;0.654285714;0.260869565;999004
2013-05-01;0.665714286;0.413043478;999004
2013-05-02;0.657142857;0.239130435;999004
2013-05-03;0.645714286;0.195652174;999012
2013-05-04;0.608571429;0.173913043;999004
2013-05-05;0.642857143;0.130434783;999003
2013-05-06;0.648571429;0.173913043;999004
2013-05-07;0.674285714;0.173913043;999005
2013-05-08;0.668571429;0.086956522;999003
2013-05-09;0.68;0.152173913;999003
2013-05-10;0.582857143;0.130434783;999003
2013-05-11;0.62;0.152173913;999012
2013-05-12;0.677142857;0.260869565;999009
2013-05-13;0.697142857;0.282608696;999008
2013-05-14;0.625714286;0.173913043;999005
2013-05-15;0.694285714;0.152173913;999004
2013-05-16;0.72;0.260869565;999003
2013-05-17;0.58;0.086956522;999004
2013-05-18;0.605714286;0.086956522;999005
2013-05-19;0.677142857;0.086956522;999013
