TimeStample;T;w;wd
2019-01-01;0.108571429;0.108695652;999002
2019-01-02;0.142857143;0.065217391;999002
2019-01-03;0.174285714;0.130434783;999006
2019-01-04;0.197142857;0.173913043;999003
2019-01-05;0.231428571;0.130434783;999004
2019-01-06;0.237142857;0.413043478;999003
2019-01-07;0.24;0.304347826;999003
2019-01-08;0.22;0.260869565;999003
2019-01-09;0.16;0.152173913;999003
2019-01-10;0.174285714;0.282608696;999003
2019-01-11;0.211428571;0.130434783;999003
2019-01-12;0.242857143;0.217391304;999003
2019-01-13;0.268571429;0.195652174;999003
2019-01-14;0.254285714;0.130434783;999003
2019-01-15;0.265714286;0.173913043;999004
2019-01-16;0.22;0.217391304;999004
2019-01-17;0.171428571;0.086956522;999004
2019-01-18;0.208571429;0.108695652;999012
2019-01-19;0.271428571;0.239130435;999003
2019-01-20;0.271428571;0.195652174;999003
2019-01-21;0.242857143;0.217391304;999013
2019-01-22;0.208571429;0.217391304;999012
2019-01-23;0.285714286;0.086956522;999012
2019-01-24;0.331428571;0;999010
2019-01-25;0.348571429;0.152173913;999004
2019-01-26;0.357142857;0.413043478;999003
2019-01-27;0.291428571;0.173913043;999003
2019-01-28;0.251428571;0.239130435;999003
2019-01-29;0.231428571;0.065217391;999013
2019-01-30;0.231428571;0.217391304;999003
2019-01-31;0.24;0.239130435;999003
2019-03-01;0.308571429;0.347826087;999004
2019-03-02;0.322857143;0.108695652;999006
2019-03-03;0.377142857;0.152173913;999013
2019-03-04;0.297142857;0.152173913;999002
2019-03-05;0.38;0.130434783;999003
2019-03-06;0.382857143;0.173913043;999003
2019-03-07;0.382857143;0.260869565;999003
2019-03-08;0.288571429;0.152173913;999003
2019-03-09;0.314285714;0.173913043;999005
2019-03-10;0.388571429;0.108695652;999013
2019-03-11;0.437142857;0.173913043;999009
2019-03-12;0.474285714;0.173913043;999011
2019-03-13;0.442857143;0.065217391;999012
2019-03-14;0.445714286;0.086956522;999003
2019-03-15;0.442857143;0.173913043;999010
2019-03-16;0.4;0.108695652;999012
2019-03-17;0.411428571;0.130434783;999003
2019-03-18;0.468571429;0.217391304;999005
2019-03-19;0.485714286;0.173913043;999006
2019-03-20;0.62;0.173913043;999010
2019-03-21;0.548571429;0.47826087;999003
2019-03-22;0.337142857;0.347826087;999006
2019-03-23;0.342857143;0.173913043;999003
2019-03-24;0.334285714;0.130434783;999013
2019-03-25;0.388571429;0.152173913;999013
2019-03-26;0.494285714;0.130434783;999012
2019-03-27;0.617142857;0.065217391;999007
2019-03-28;0.574285714;0.195652174;999003
2019-03-29;0.577142857;0.173913043;999012
2019-03-30;0.551428571;0.434782609;999003
2019-03-31;0.42;0.152173913;999003
2019-05-01;0.66;0.282608696;999003
2019-05-02;0.628571429;0.195652174;999003
2019-05-03;0.617142857;0.152173913;999012
2019-05-04;0.62;0.108695652;999012
2019-05-05;0.602857143;0.173913043;999013
2019-05-06;0.562857143;0.130434783;999003
2019-05-07;0.46;0.065217391;999003
2019-05-08;0.542857143;0.130434783;999011
2019-05-09;0.582857143;0.043478261;999011
2019-05-10;0.648571429;0.173913043;999009
2019-05-11;0.705714286;0.217391304;999007
2019-05-12;0.625714286;0.108695652;999013
2019-05-13;0.597142857;0.108695652;999013
2019-05-14;0.562857143;0.239130435;999003
2019-05-15;0.588571429;0.130434783;999003
2019-05-16;0.64;0.065217391;999003
2019-05-17;0.734285714;0.086956522;999007
2019-05-18;0.7;0.173913043;999015
2019-05-19;0.694285714;0.195652174;999003
2019-05-20;0.628571429;0.130434783;999013
2019-05-21;0.602857143;0.086956522;999013
2019-05-22;0.668571429;0.152173913;999013
2019-05-23;0.702857143;0.195652174;999014
2019-05-24;0.705714286;0.130434783;999013
2019-05-25;0.7;0.130434783;999012
2019-05-26;0.808571429;0.065217391;999006
2019-05-27;0.791428571;0.347826087;999005
2019-05-28;0.705714286;0.217391304;999004
2019-05-29;0.591428571;0.152173913;999013
2019-05-30;0.665714286;0.086956522;999014
2019-05-31;0.717142857;0.260869565;999003
2019-07-01;0.834285714;0.239130435;999004
2019-07-02;0.857142857;0.304347826;999003
2019-07-03;0.837142857;0.260869565;999006
2019-07-04;0.828571429;0.239130435;999013
2019-07-05;0.854285714;0.260869565;999011
2019-07-06;0.828571429;0.130434783;999013
2019-07-07;0.845714286;0.282608696;999005
2019-07-08;0.708571429;0.217391304;999003
2019-07-09;0.74;0.217391304;999006
2019-07-10;0.782857143;0.195652174;999010
2019-07-11;0.817142857;0.152173913;999009
2019-07-12;0.722857143;0.130434783;999003
2019-07-13;0.757142857;0.152173913;999009
2019-07-14;0.797142857;0.195652174;999012
2019-07-15;0.828571429;0.086956522;999003
2019-07-16;0.797142857;0.260869565;999012
2019-07-17;0.882857143;0.304347826;999003
2019-07-18;0.842857143;0.195652174;999002
2019-07-19;0.851428571;0.130434783;999012
2019-07-20;0.897142857;0.260869565;999011
2019-07-21;0.905714286;0.173913043;999003
2019-07-22;0.934285714;0.195652174;999011
2019-07-23;0.9;0.173913043;999014
2019-07-24;0.882857143;0.217391304;999011
2019-07-25;0.925714286;0.130434783;999011
2019-07-26;0.96;0.195652174;999011
2019-07-27;0.942857143;0.282608696;999012
2019-07-28;0.968571429;0.217391304;999009
2019-07-29;0.951428571;0.282608696;999007
2019-07-30;0.908571429;0.347826087;999011
2019-07-31;0.905714286;0.152173913;999007
2019-10-01;0.08;0;999001
2019-10-02;0.08;0;999001
2019-10-03;0.828571429;0.195652174;999008
2019-10-04;0.825714286;0.217391304;999007
2019-10-05;0.805714286;0.369565217;999003
2019-10-06;0.671428571;0.369565217;999004
2019-10-07;0.602857143;0.369565217;999003
2019-10-08;0.622857143;0.282608696;999006
2019-10-09;0.597142857;0.065217391;999003
2019-10-10;0.685714286;0.173913043;999003
2019-10-11;0.588571429;0.173913043;999003
2019-10-12;0.591428571;0.065217391;999003
2019-10-13;0.611428571;0.02173913;999003
2019-10-14;0.591428571;0.065217391;999003
2019-10-15;0.525714286;0.326086957;999003
2019-10-16;0.502857143;0.260869565;999003
2019-10-17;0.517142857;0.195652174;999003
2019-10-18;0.514285714;0.152173913;999008
2019-10-19;0.551428571;0.195652174;999015
2019-10-20;0.6;0.130434783;999013
2019-10-21;0.634285714;0.152173913;999012
2019-10-22;0.551428571;0.152173913;999003
2019-10-23;0.554285714;0.152173913;999006
2019-10-24;0.594285714;0.108695652;999002
2019-10-25;0.52;0.152173913;999003
2019-10-26;0.425714286;0.239130435;999003
2019-10-27;0.451428571;0.086956522;999013
2019-10-28;0.528571429;0.239130435;999013
2019-10-29;0.514285714;0.173913043;999003
2019-10-30;0.52;0.195652174;999006
2019-10-31;0.537142857;0.152173913;999005
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
