TimeStample;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;R31;R32;R33;R34;R35;R36;R37;R38;R39
01-01-2019 00:00;0;0;0;0.025210084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 09:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 11:00;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361
01-01-2019 12:00;0.008403361;0;0;0;0;0.008403361;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0.008403361;0;0.008403361;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0
01-01-2019 13:00;0;0.008403361;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0.008403361;0;0;0.008403361;0;0;0;0;0
01-01-2019 14:00;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0;0.008403361;0.008403361;0;0;0.008403361;0;0.008403361;0;0;0;0;0.008403361;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0.008403361
01-01-2019 15:00;0.008403361;0;0;0;0;0.008403361;0.008403361;0;0.008403361;0;0;0;0.008403361;0;0;0;0;0;0;0.008403361;0;0;0;0;0.008403361;0;0;0;0;0.008403361;0.008403361;0;0;0.008403361;0;0;0;0.008403361;0
01-01-2019 16:00;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0.008403361;0;0.008403361;0;0;0;0;0.008403361;0;0;0;0;0.008403361;0;0;0.008403361;0;0;0;0;0;0;0;0;0;0
01-01-2019 17:00;0;0;0;0.008403361;0.008403361;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0.008403361;0.008403361;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0.008403361;0;0;0.008403361;0.008403361;0
01-01-2019 18:00;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0
01-01-2019 20:00;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0
01-01-2019 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-01-2019 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02-01-2019 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02-01-2019 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0.008403361;0
02-01-2019 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02-01-2019 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0;0;0;0;0
02-01-2019 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0
02-01-2019 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02-01-2019 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02-01-2019 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02-01-2019 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02-01-2019 09:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0
02-01-2019 10:00;0;0;0;0;0;0;0;0;0;0.008403361;0;0.008403361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008403361;0;0;0;0;0;0;0;0;0.008403361;0
02-01-2019 11:00;0;0;0;0.008403361;0;0;0;0;0.008403361;0;0;0;0.008403361;0;0;0.008403361;0;0;0;0.008403361;0;0;0;0.008403361;0;0;0.008403361;0.008403361;0.008403361;0;0.008403361;0;0;0;0;0.008403361;0;0;0
02-01-2019 12:00;0;0;0;0.008403361;0.008403361;0;0;0;0;0.008403361;0;0;0;0.008403361;0.008403361;0.008403361;0.008403361;0;0.016806723;0;0;0;0;0.008403361;0.008403361;0.008403361;0;0.008403361;0;0.008403361;0;0;0;0.008403361;0.008403361;0;0.008403361;0.016806723;0
